Trial,Mass (g),Load Cell Reading
2,90,19643.00
2,90,19625.00
2,90,19652.00
2,90,19621.00
2,90,19667.00
2,90,19695.00
2,90,19636.00
2,90,19619.00
2,90,19652.00
2,90,19640.00
2,90,19631.00
2,90,19625.00
2,90,19657.00
2,90,19632.00
2,90,19622.00
2,90,19647.00
2,90,19672.00
2,90,19693.00
2,90,19642.00
2,90,19582.00
2,90,19581.00
2,90,19652.00
2,90,19696.00
2,90,19673.00
2,90,19669.00
2,90,19616.00
2,90,19593.00
2,90,19629.00
2,90,19655.00
2,90,19632.00
2,90,19645.00
2,90,19646.00
2,90,19649.00
3,100,21929.00
3,100,21902.00
3,100,21901.00
3,100,21869.00
3,100,21894.00
3,100,21938.00
3,100,21887.00
3,100,21871.00
3,100,21924.00
3,100,21902.00
3,100,21864.00
3,100,21864.00
3,100,21877.00
3,100,21931.00
3,100,21888.00
3,100,21855.00
3,100,21913.00
3,100,21934.00
3,100,21922.00
3,100,21883.00
3,100,21912.00
3,100,21899.00
3,100,21880.00
3,100,21887.00
3,100,21952.00
3,100,21899.00
3,100,21874.00
3,100,21852.00
3,100,21863.00
3,100,21894.00
3,100,21885.00
3,100,21877.00
3,100,21889.00
3,100,21883.00
3,100,21880.00
3,100,21877.00
3,100,21908.00
3,100,21880.00
3,100,21899.00
3,100,21909.00
3,100,21855.00
3,100,21834.00
3,100,21866.00
3,100,21887.00
3,100,21886.00
3,100,21866.00
3,100,21869.00
3,100,21946.00
3,100,21901.00
3,100,21851.00
3,100,21890.00
3,100,21900.00
3,100,21936.00
3,100,21924.00
3,100,21905.00
3,100,21904.00
3,100,21908.00
3,100,21907.00
3,100,21875.00
3,100,21870.00
3,100,21870.00
3,100,21881.00
3,100,21904.00
3,100,21911.00
3,100,21909.00
3,100,21900.00
3,100,21885.00
3,100,21889.00
3,100,21899.00
3,100,21887.00
3,100,21870.00
3,100,21870.00
3,100,21869.00
3,100,21916.00
3,100,21881.00
3,100,21879.00
3,100,21853.00
3,100,21883.00
3,100,21856.00
3,100,21842.00
3,100,21895.00
3,100,21875.00
3,100,21828.00
3,100,21872.00
3,100,21875.00
3,100,21869.00
3,100,21863.00
3,100,21870.00
3,100,21872.00
3,100,21846.00
3,100,21888.00
3,100,21887.00
3,100,21879.00
3,100,21870.00
3,100,21862.00
3,100,21865.00
3,100,21844.00
3,100,21896.00
3,100,21890.00
3,100,21876.00
3,100,21915.00
3,100,21916.00
3,100,21853.00
3,100,21840.00
3,100,21834.00
3,100,21842.00
3,100,21848.00
3,100,21853.00
3,100,21877.00
3,100,21885.00
3,100,21915.00
3,100,21863.00
3,100,21833.00
4,20,4305.00
4,20,4327.00
4,20,4349.00
4,20,4362.00
4,20,4322.00
4,20,4293.00
4,20,4323.00
4,20,4328.00
4,20,4308.00
4,20,4306.00
4,20,4302.00
4,20,4323.00
4,20,4346.00
4,20,4351.00
4,20,4321.00
4,20,4326.00
4,20,4293.00
4,20,4234.00
4,20,4292.00
4,20,4308.00
4,20,4324.00
4,20,4331.00
4,20,4316.00
4,20,4269.00
4,20,4269.00
4,20,4309.00
4,20,4336.00
4,20,4326.00
4,20,4313.00
4,20,4295.00
4,20,4328.00
4,20,4344.00
4,20,4312.00
4,20,4318.00
4,20,4290.00
4,20,4295.00
4,20,4323.00
4,20,4308.00
4,20,4306.00
4,20,4322.00
4,20,4350.00
4,20,4382.00
4,20,4332.00
4,20,4304.00
4,20,4311.00
4,20,4291.00
4,20,4306.00
4,20,4304.00
4,20,4306.00
4,20,4293.00
4,20,4331.00
4,20,4322.00
4,20,4304.00
4,20,4311.00
4,20,4314.00
4,20,4314.00
4,20,4322.00
4,20,4338.00
4,20,4320.00
4,20,4299.00
4,20,4328.00
4,20,4321.00
4,20,4261.00
4,20,4229.00
4,20,4260.00
4,20,4319.00
4,20,4367.00
4,20,4345.00
4,20,4302.00
4,20,4262.00
4,20,4260.00
4,20,4307.00
4,20,4324.00
4,20,4319.00
4,20,4301.00
4,20,4319.00
4,20,4360.00
4,20,4354.00
4,20,4382.00
4,20,4309.00
4,20,4295.00
4,20,4295.00
4,20,4297.00
4,20,4335.00
4,20,4326.00
4,20,4288.00
4,20,4344.00
4,20,4292.00
4,20,4300.00
4,20,4358.00
4,20,4334.00
4,20,4289.00
4,20,4315.00
4,20,4346.00
4,20,4339.00
4,20,4311.00
4,20,4289.00
4,20,4298.00
4,20,4307.00
4,20,4304.00
4,20,4316.00
4,20,4312.00
4,20,4289.00
4,20,4290.00
4,20,4289.00
4,20,4283.00
4,20,4281.00
4,20,4290.00
4,20,4279.00
4,20,4262.00
4,20,4321.00
4,20,4284.00
4,20,4269.00
4,20,4304.00
5,200,43965.00
5,200,43946.00
5,200,43948.00
5,200,43943.00
5,200,43924.00
5,200,43914.00
5,200,43937.00
5,200,43962.00
5,200,43978.00
5,200,43934.00
5,200,43907.00
5,200,43902.00
5,200,43913.00
5,200,43958.00
5,200,43949.00
5,200,43903.00
5,200,43882.00
5,200,43912.00
5,200,43941.00
5,200,43951.00
5,200,43946.00
5,200,43939.00
5,200,43917.00
5,200,43920.00
5,200,43930.00
5,200,43924.00
5,200,43943.00
5,200,43943.00
5,200,43971.00
5,200,43945.00
5,200,43949.00
5,200,43931.00
5,200,43937.00
5,200,43909.00
5,200,43877.00
5,200,43923.00
5,200,43919.00
5,200,43925.00
5,200,43936.00
5,200,43962.00
5,200,43948.00
5,200,43922.00
5,200,43938.00
5,200,43909.00
5,200,43980.00
5,200,43974.00
5,200,43934.00
5,200,43888.00
5,200,43904.00
5,200,43954.00
5,200,43926.00
5,200,43938.00
5,200,43964.00
5,200,43952.00
5,200,43940.00
5,200,43928.00
5,200,43928.00
5,200,43948.00
5,200,43920.00
5,200,43900.00
5,200,43907.00
5,200,43950.00
5,200,43907.00
5,200,43917.00
5,200,43943.00
5,200,43919.00
5,200,43896.00
5,200,43912.00
5,200,43920.00
5,200,43913.00
5,200,43902.00
5,200,43903.00
5,200,43920.00
5,200,43916.00
5,200,43917.00
5,200,43908.00
5,200,43872.00
5,200,43894.00
5,200,43917.00
5,200,43955.00
5,200,43942.00
5,200,43911.00
5,200,43927.00
5,200,43921.00
5,200,43940.00
5,200,43933.00
5,200,43918.00
5,200,43927.00
5,200,43945.00
5,200,43917.00
5,200,43891.00
5,200,43893.00
5,200,43879.00
5,200,43884.00
5,200,43914.00
5,200,43929.00
5,200,43929.00
5,200,43932.00
5,200,43864.00
5,200,43889.00
5,200,43945.00
5,200,43915.00
5,200,43903.00
5,200,43925.00
5,200,43943.00
5,200,43917.00
5,200,43878.00
5,200,43919.00
5,200,43949.00
5,200,43971.00
5,200,43964.00
5,200,43945.00
5,200,43906.00
5,200,43928.00
6,250,54908.00
6,250,54907.00
6,250,54916.00
6,250,54914.00
6,250,54925.00
6,250,54967.00
6,250,54982.00
6,250,54962.00
6,250,54967.00
6,250,54968.00
6,250,54986.00
6,250,54981.00
6,250,54947.00
6,250,54948.00
6,250,54960.00
6,250,54932.00
6,250,54892.00
6,250,54908.00
6,250,54947.00
6,250,54959.00
6,250,54930.00
6,250,54936.00
6,250,54954.00
6,250,54956.00
6,250,54935.00
6,250,54900.00
6,250,54924.00
6,250,54953.00
6,250,54964.00
6,250,54984.00
6,250,54975.00
6,250,54932.00
6,250,54902.00
6,250,54954.00
6,250,54967.00
6,250,54939.00
6,250,54936.00
6,250,54952.00
6,250,54927.00
6,250,54928.00
6,250,54945.00
6,250,54943.00
6,250,54945.00
6,250,54955.00
6,250,54973.00
6,250,54940.00
6,250,54939.00
6,250,54943.00
6,250,54902.00
6,250,54896.00
6,250,54903.00
6,250,54930.00
6,250,54936.00
6,250,54918.00
6,250,54896.00
6,250,54917.00
6,250,54891.00
6,250,54926.00
6,250,54936.00
6,250,54940.00
6,250,54948.00
6,250,54919.00
6,250,54949.00
6,250,54938.00
6,250,54924.00
6,250,54936.00
6,250,54954.00
6,250,54939.00
6,250,54905.00
6,250,54948.00
6,250,54983.00
6,250,54970.00
6,250,54909.00
6,250,54912.00
6,250,54964.00
6,250,54974.00
6,250,54967.00
6,250,54945.00
6,250,54952.00
6,250,54945.00
6,250,54938.00
6,250,54939.00
6,250,54914.00
6,250,54927.00
6,250,54920.00
6,250,54943.00
6,250,54938.00
6,250,54943.00
6,250,54962.00
6,250,54906.00
6,250,54938.00
6,250,54965.00
6,250,54971.00
6,250,54965.00
6,250,54952.00
6,250,54949.00
6,250,54924.00
6,250,54897.00
6,250,54909.00
6,250,54907.00
6,250,54896.00
6,250,54894.00
6,250,54934.00
6,250,54971.00
6,250,54919.00
6,250,54911.00
6,250,54902.00
6,250,54890.00
6,250,54913.00
6,250,54940.00
6,250,54950.00
6,250,54961.00
6,250,54936.00
6,250,54938.00
7,300,65898.00
7,300,65883.00
7,300,65834.00
7,300,65824.00
7,300,65836.00
7,300,65848.00
7,300,65863.00
7,300,65822.00
7,300,65802.00
7,300,65855.00
7,300,65896.00
7,300,65878.00
7,300,65832.00
7,300,65823.00
7,300,65829.00
7,300,65850.00
7,300,65861.00
