Trial,Jaw Distance (mm),PWM,Grasper Force Sensor (Counts),External Force Sensor (Counts),Encoder Value (Pulses)
0,10.2,30,18,6504,-58552
0,10.2,30,16,6533,-58553
0,10.2,30,20,6542,-58553
0,10.2,30,17,6511,-58553
0,10.2,30,19,6518,-58554
0,10.2,30,18,6571,-58554
0,10.2,30,14,6589,-58555
0,10.2,30,17,6519,-58555
0,10.2,30,16,6538,-58556
0,10.2,30,16,6586,-58557
0,10.2,30,16,6569,-58558
0,10.2,30,21,6540,-58559
0,10.2,30,23,6563,-58560
0,10.2,30,22,6526,-58561
0,10.2,30,20,6511,-58561
0,10.2,30,23,6541,-58562
0,10.2,30,24,6555,-58563
0,10.2,30,22,6571,-58564
0,10.2,30,17,6563,-58565
0,10.2,30,19,6578,-58566
0,10.2,30,15,6570,-58567
0,10.2,30,18,6573,-58569
0,10.2,30,21,6573,-58570
0,10.2,30,19,6561,-58570
0,10.2,30,20,6544,-58571
0,10.2,30,21,6522,-58572
0,10.2,30,15,6504,-58573
0,10.2,30,17,6541,-58574
0,10.2,30,16,6528,-58575
0,10.2,30,20,6573,-58576
0,10.2,30,22,6590,-58578
0,10.2,30,17,6557,-58580
0,10.2,30,18,6577,-58582
0,10.2,30,16,6569,-58583
0,10.2,30,17,6527,-58585
0,10.2,30,23,6522,-58586
0,10.2,30,19,6555,-58587
0,10.2,30,21,6600,-58587
0,10.2,30,19,6595,-58587
0,10.2,30,17,6597,-58587
0,10.2,30,19,6577,-58588
0,10.2,30,17,6539,-58588
0,10.2,30,21,6564,-58588
0,10.2,30,15,6571,-58589
0,10.2,30,19,6556,-58590
0,10.2,30,15,6580,-58592
0,10.2,30,18,6575,-58592
0,10.2,30,20,6583,-58593
0,10.2,30,17,6566,-58593
0,10.2,30,19,6592,-58593
0,10.2,30,19,6623,-58593
0,10.2,30,21,6645,-58594
0,10.2,30,21,6625,-58594
0,10.2,30,16,6608,-58594
0,10.2,30,22,6594,-58594
0,10.2,30,22,6553,-58594
0,10.2,30,18,6536,-58594
0,10.2,30,20,6561,-58594
1,10.2,35,11,1583,-58628
1,10.2,35,12,1708,-58628
1,10.2,35,9,1643,-58628
1,10.2,35,13,1610,-58628
1,10.2,35,5,1602,-58628
1,10.2,35,2,1590,-58628
1,10.2,35,8,1609,-58628
1,10.2,35,7,1655,-58628
1,10.2,35,12,1658,-58628
1,10.2,35,3,1652,-58628
1,10.2,35,5,1654,-58628
1,10.2,35,15,1641,-58628
1,10.2,35,8,1684,-58628
1,10.2,35,9,1690,-58628
1,10.2,35,13,1672,-58628
1,10.2,35,5,1657,-58628
1,10.2,35,3,1629,-58628
1,10.2,35,7,1601,-58628
1,10.2,35,7,1616,-58628
1,10.2,35,1,1644,-58628
1,10.2,35,10,1650,-58628
1,10.2,35,8,1631,-58628
1,10.2,35,15,1628,-58628
1,10.2,35,17,1630,-58628
1,10.2,35,11,1620,-58628
1,10.2,35,9,1629,-58628
1,10.2,35,11,1654,-58628
1,10.2,35,15,1639,-58628
1,10.2,35,13,1641,-58628
1,10.2,35,13,1637,-58628
1,10.2,35,13,1649,-58628
1,10.2,35,9,1657,-58628
1,10.2,35,9,1627,-58628
1,10.2,35,8,1619,-58628
1,10.2,35,11,1660,-58628
1,10.2,35,9,1674,-58628
1,10.2,35,11,1658,-58628
1,10.2,35,12,1670,-58628
1,10.2,35,11,1669,-58628
1,10.2,35,14,1707,-58628
1,10.2,35,12,1751,-58628
1,10.2,35,11,1675,-58628
1,10.2,35,13,1666,-58628
1,10.2,35,13,1691,-58628
1,10.2,35,13,1650,-58628
1,10.2,35,14,1644,-58628
1,10.2,35,12,1662,-58628
1,10.2,35,11,1712,-58628
1,10.2,35,13,1760,-58628
1,10.2,35,8,1697,-58628
1,10.2,35,7,1651,-58628
1,10.2,35,9,1626,-58628
1,10.2,35,8,1647,-58628
1,10.2,35,8,1666,-58628
1,10.2,35,11,1683,-58628
1,10.2,35,13,1684,-58628
1,10.2,35,12,1691,-58628
2,10.2,40,16,8083,-59967
2,10.2,40,18,12285,-59967
2,10.2,40,18,12732,-59967
2,10.2,40,17,12700,-59967
2,10.2,40,16,12655,-59967
2,10.2,40,15,12633,-59967
2,10.2,40,15,12645,-59967
2,10.2,40,17,12668,-59967
2,10.2,40,18,12684,-59967
2,10.2,40,16,12666,-59967
2,10.2,40,17,12650,-59967
2,10.2,40,16,12635,-59967
2,10.2,40,18,12600,-59967
2,10.2,40,17,12573,-59967
2,10.2,40,16,12575,-59967
2,10.2,40,17,12597,-59967
2,10.2,40,15,12543,-59967
2,10.2,40,14,12522,-59967
2,10.2,40,14,12530,-59967
2,10.2,40,14,12555,-59967
2,10.2,40,14,12557,-59967
2,10.2,40,15,12535,-59967
2,10.2,40,16,12524,-59967
2,10.2,40,16,12559,-59967
2,10.2,40,16,12566,-59967
2,10.2,40,16,12506,-59967
2,10.2,40,16,12519,-59967
2,10.2,40,15,12552,-59967
2,10.2,40,16,12536,-59967
2,10.2,40,16,12504,-59967
2,10.2,40,14,12442,-59967
2,10.2,40,15,12443,-59967
2,10.2,40,15,12431,-59967
2,10.2,40,14,12476,-59967
2,10.2,40,16,12517,-59967
2,10.2,40,16,12471,-59967
2,10.2,40,16,12463,-59967
2,10.2,40,16,12519,-59967
2,10.2,40,16,12472,-59967
2,10.2,40,16,12473,-59967
2,10.2,40,16,12495,-59967
2,10.2,40,14,12498,-59967
2,10.2,40,14,12516,-59967
2,10.2,40,15,12444,-59967
2,10.2,40,16,12442,-59967
2,10.2,40,16,12502,-59967
2,10.2,40,14,12503,-59967
2,10.2,40,15,12451,-59967
2,10.2,40,13,12448,-59967
2,10.2,40,16,12479,-59967
2,10.2,40,15,12465,-59967
2,10.2,40,16,12495,-59967
2,10.2,40,16,12500,-59967
2,10.2,40,16,12502,-59967
2,10.2,40,15,12509,-59967
2,10.2,40,16,12457,-59967
2,10.2,40,15,12470,-59967
3,10.2,45,33,16826,-60962
3,10.2,45,34,20664,-60962
3,10.2,45,33,20812,-60962
3,10.2,45,34,20545,-60962
3,10.2,45,33,20400,-60962
3,10.2,45,33,20298,-60962
3,10.2,45,33,20261,-60962
3,10.2,45,32,20233,-60962
3,10.2,45,32,20204,-60962
3,10.2,45,34,20216,-60962
3,10.2,45,33,20196,-60962
3,10.2,45,32,20111,-60962
3,10.2,45,34,20077,-60962
3,10.2,45,31,20073,-60962
3,10.2,45,31,20003,-60962
3,10.2,45,32,20017,-60962
3,10.2,45,32,20044,-60962
3,10.2,45,32,20016,-60962
3,10.2,45,28,19976,-60962
3,10.2,45,33,19934,-60962
3,10.2,45,30,19897,-60962
3,10.2,45,29,19917,-60962
3,10.2,45,30,19877,-60962
3,10.2,45,32,19850,-60962
3,10.2,45,30,19880,-60962
3,10.2,45,30,19857,-60962
3,10.2,45,29,19859,-60962
3,10.2,45,33,19914,-60962
3,10.2,45,31,19898,-60962
3,10.2,45,32,19868,-60962
3,10.2,45,31,19865,-60962
3,10.2,45,32,19829,-60962
3,10.2,45,30,19840,-60962
3,10.2,45,31,19863,-60962
3,10.2,45,30,19814,-60962
3,10.2,45,31,19806,-60962
3,10.2,45,33,19801,-60962
3,10.2,45,31,19775,-60962
3,10.2,45,31,19757,-60962
3,10.2,45,32,19728,-60962
3,10.2,45,32,19731,-60962
3,10.2,45,32,19766,-60962
3,10.2,45,34,19720,-60962
3,10.2,45,30,19734,-60962
3,10.2,45,30,19718,-60962
3,10.2,45,31,19749,-60962
3,10.2,45,32,19741,-60962
3,10.2,45,31,19695,-60962
3,10.2,45,31,19663,-60962
3,10.2,45,35,19665,-60962
3,10.2,45,31,19680,-60962
3,10.2,45,33,19696,-60962
3,10.2,45,32,19664,-60962
3,10.2,45,31,19683,-60962
3,10.2,45,33,19721,-60962
3,10.2,45,32,19718,-60962
3,10.2,45,30,19678,-60962
4,10.2,50,54,25094,-61592
4,10.2,50,58,27705,-61592
4,10.2,50,55,27668,-61592
4,10.2,50,54,27516,-61592
4,10.2,50,55,27380,-61592
4,10.2,50,54,27263,-61592
4,10.2,50,54,27209,-61592
4,10.2,50,54,27136,-61592
4,10.2,50,55,27065,-61592
4,10.2,50,54,27007,-61592
4,10.2,50,54,26978,-61592
4,10.2,50,53,26967,-61592
4,10.2,50,55,26929,-61592
4,10.2,50,55,26862,-61592
4,10.2,50,54,26858,-61592
4,10.2,50,53,26843,-61592
4,10.2,50,54,26849,-61592
4,10.2,50,53,26859,-61592
4,10.2,50,53,26799,-61592
4,10.2,50,55,26781,-61592
4,10.2,50,54,26764,-61592
4,10.2,50,53,26762,-61592
4,10.2,50,53,26778,-61592
4,10.2,50,54,26734,-61592
4,10.2,50,52,26700,-61592
4,10.2,50,53,26689,-61592
4,10.2,50,52,26694,-61592
4,10.2,50,54,26690,-61592
4,10.2,50,52,26695,-61592
4,10.2,50,54,26721,-61592
4,10.2,50,53,26719,-61592
4,10.2,50,53,26717,-61592
4,10.2,50,53,26682,-61592
4,10.2,50,55,26655,-61592
4,10.2,50,54,26673,-61592
4,10.2,50,54,26637,-61592
4,10.2,50,56,26589,-61592
4,10.2,50,55,26604,-61592
4,10.2,50,55,26637,-61592
4,10.2,50,55,26642,-61592
4,10.2,50,55,26617,-61592
4,10.2,50,51,26596,-61592
4,10.2,50,54,26585,-61592
4,10.2,50,54,26581,-61592
4,10.2,50,55,26619,-61592
4,10.2,50,55,26627,-61592
4,10.2,50,54,26620,-61592
4,10.2,50,53,26614,-61592
4,10.2,50,53,26603,-61592
4,10.2,50,54,26583,-61592
4,10.2,50,56,26582,-61592
4,10.2,50,55,26578,-61592
4,10.2,50,55,26559,-61592
