Trial,Jaw Distance (mm),PWM,Grasper Force Sensor (Counts),External Force Sensor (Counts),Encoder Value (Pulses)
0,20.4,30,21,3657,-69749
0,20.4,30,32,3666,-69750
0,20.4,30,24,3661,-69749
0,20.4,30,25,3700,-69749
0,20.4,30,33,3757,-69749
0,20.4,30,27,3819,-69750
0,20.4,30,22,3852,-69750
0,20.4,30,19,3845,-69750
0,20.4,30,23,3840,-69750
0,20.4,30,31,3893,-69750
0,20.4,30,22,3901,-69750
0,20.4,30,25,3875,-69750
0,20.4,30,23,3909,-69750
0,20.4,30,29,3985,-69750
0,20.4,30,27,3990,-69749
0,20.4,30,26,3972,-69749
0,20.4,30,27,3964,-69749
0,20.4,30,23,3952,-69749
0,20.4,30,23,3967,-69749
0,20.4,30,29,4009,-69749
0,20.4,30,26,4059,-69749
0,20.4,30,19,4044,-69749
0,20.4,30,27,4106,-69749
0,20.4,30,25,4117,-69750
0,20.4,30,22,4128,-69749
0,20.4,30,28,4150,-69749
0,20.4,30,22,4144,-69750
0,20.4,30,21,4160,-69750
0,20.4,30,22,4148,-69750
0,20.4,30,21,4174,-69750
0,20.4,30,21,4179,-69750
0,20.4,30,24,4188,-69750
0,20.4,30,30,4228,-69750
0,20.4,30,19,4202,-69750
0,20.4,30,21,4231,-69750
0,20.4,30,24,4259,-69750
0,20.4,30,25,4250,-69750
0,20.4,30,23,4238,-69750
0,20.4,30,23,4266,-69750
0,20.4,30,29,4269,-69750
0,20.4,30,30,4311,-69750
0,20.4,30,23,4363,-69749
0,20.4,30,21,4350,-69749
0,20.4,30,28,4351,-69749
0,20.4,30,27,4361,-69749
0,20.4,30,23,4361,-69749
0,20.4,30,24,4350,-69750
0,20.4,30,19,4340,-69749
0,20.4,30,22,4365,-69749
0,20.4,30,26,4361,-69749
0,20.4,30,23,4348,-69749
0,20.4,30,26,4345,-69749
0,20.4,30,21,4393,-69750
0,20.4,30,29,4419,-69750
0,20.4,30,24,4407,-69750
0,20.4,30,20,4405,-69750
0,20.4,30,20,4448,-69750
0,20.4,30,22,4434,-69750
1,20.4,35,49,7311,-70468
1,20.4,35,40,15357,-70468
1,20.4,35,43,17360,-70468
1,20.4,35,44,17480,-70468
1,20.4,35,45,17534,-70468
1,20.4,35,46,17579,-70468
1,20.4,35,45,17569,-70468
1,20.4,35,47,17563,-70468
1,20.4,35,45,17565,-70468
1,20.4,35,47,17588,-70468
1,20.4,35,44,17583,-70468
1,20.4,35,44,17563,-70468
1,20.4,35,41,17589,-70468
1,20.4,35,45,17603,-70468
1,20.4,35,44,17570,-70468
1,20.4,35,49,17566,-70468
1,20.4,35,48,17590,-70468
1,20.4,35,49,17604,-70468
1,20.4,35,52,17638,-70468
1,20.4,35,51,17643,-70468
1,20.4,35,46,17620,-70468
1,20.4,35,41,17654,-70468
1,20.4,35,44,17656,-70468
1,20.4,35,45,17610,-70468
1,20.4,35,44,17621,-70468
1,20.4,35,45,17664,-70468
1,20.4,35,52,17688,-70468
1,20.4,35,52,17709,-70468
1,20.4,35,50,17711,-70468
1,20.4,35,49,17680,-70468
1,20.4,35,51,17649,-70468
1,20.4,35,47,17684,-70468
1,20.4,35,41,17681,-70468
1,20.4,35,44,17697,-70468
1,20.4,35,44,17715,-70468
1,20.4,35,49,17695,-70468
1,20.4,35,47,17695,-70468
1,20.4,35,45,17749,-70468
1,20.4,35,46,17717,-70468
1,20.4,35,48,17707,-70468
1,20.4,35,45,17722,-70468
1,20.4,35,44,17739,-70468
1,20.4,35,44,17761,-70468
1,20.4,35,43,17747,-70468
1,20.4,35,45,17723,-70468
1,20.4,35,49,17703,-70468
1,20.4,35,46,17774,-70468
1,20.4,35,48,17765,-70468
1,20.4,35,45,17745,-70468
1,20.4,35,47,17770,-70468
1,20.4,35,44,17794,-70468
1,20.4,35,49,17829,-70468
1,20.4,35,48,17797,-70468
1,20.4,35,47,17787,-70468
1,20.4,35,43,17781,-70468
1,20.4,35,44,17724,-70468
1,20.4,35,50,17764,-70468
1,20.4,35,46,17813,-70468
2,20.4,40,58,17356,-71049
2,20.4,40,59,27156,-71049
2,20.4,40,56,29087,-71049
2,20.4,40,55,29253,-71049
2,20.4,40,53,29311,-71049
2,20.4,40,55,29342,-71049
2,20.4,40,53,29377,-71049
2,20.4,40,54,29432,-71049
2,20.4,40,60,29467,-71049
2,20.4,40,52,29482,-71049
2,20.4,40,51,29481,-71049
2,20.4,40,52,29442,-71049
2,20.4,40,51,29458,-71049
2,20.4,40,55,29457,-71049
2,20.4,40,53,29450,-71049
2,20.4,40,53,29469,-71050
2,20.4,40,54,29442,-71050
2,20.4,40,55,29462,-71050
2,20.4,40,56,29483,-71050
2,20.4,40,54,29499,-71050
2,20.4,40,55,29514,-71050
2,20.4,40,55,29475,-71050
2,20.4,40,53,29468,-71050
2,20.4,40,54,29479,-71050
2,20.4,40,53,29525,-71050
2,20.4,40,58,29500,-71050
2,20.4,40,55,29478,-71050
2,20.4,40,51,29496,-71050
2,20.4,40,55,29491,-71050
2,20.4,40,52,29514,-71050
2,20.4,40,55,29521,-71050
2,20.4,40,53,29561,-71050
2,20.4,40,55,29534,-71050
2,20.4,40,52,29506,-71050
2,20.4,40,57,29528,-71050
2,20.4,40,55,29556,-71050
2,20.4,40,53,29546,-71050
2,20.4,40,56,29551,-71050
2,20.4,40,57,29519,-71050
2,20.4,40,58,29536,-71050
2,20.4,40,58,29496,-71050
2,20.4,40,55,29549,-71050
2,20.4,40,56,29553,-71050
2,20.4,40,54,29514,-71050
2,20.4,40,57,29529,-71050
2,20.4,40,52,29525,-71050
2,20.4,40,53,29548,-71050
2,20.4,40,51,29533,-71050
2,20.4,40,55,29558,-71050
2,20.4,40,52,29570,-71050
2,20.4,40,55,29576,-71050
2,20.4,40,54,29576,-71050
2,20.4,40,59,29552,-71050
2,20.4,40,52,29543,-71050
2,20.4,40,54,29545,-71050
2,20.4,40,56,29535,-71050
2,20.4,40,52,29579,-71050
2,20.4,40,53,29617,-71050
3,20.4,45,75,27481,-71608
3,20.4,45,74,37918,-71608
3,20.4,45,77,39742,-71608
3,20.4,45,76,39877,-71608
3,20.4,45,75,39940,-71608
3,20.4,45,76,39983,-71608
3,20.4,45,76,39956,-71608
3,20.4,45,76,39945,-71608
3,20.4,45,75,39991,-71608
3,20.4,45,74,39943,-71608
3,20.4,45,75,39924,-71608
3,20.4,45,76,39939,-71608
3,20.4,45,76,39933,-71608
3,20.4,45,75,39939,-71608
3,20.4,45,75,39978,-71608
3,20.4,45,74,39982,-71608
3,20.4,45,74,39975,-71608
3,20.4,45,75,39956,-71608
3,20.4,45,75,39975,-71608
3,20.4,45,77,39957,-71608
3,20.4,45,75,39937,-71608
3,20.4,45,74,39926,-71608
3,20.4,45,75,39929,-71608
3,20.4,45,75,39960,-71608
3,20.4,45,74,39959,-71608
3,20.4,45,73,39916,-71608
3,20.4,45,74,39925,-71608
3,20.4,45,74,39912,-71608
3,20.4,45,75,39930,-71608
3,20.4,45,75,39934,-71608
3,20.4,45,74,39918,-71608
3,20.4,45,74,39950,-71608
3,20.4,45,74,39933,-71608
3,20.4,45,73,39898,-71608
3,20.4,45,75,39937,-71608
3,20.4,45,74,39946,-71608
3,20.4,45,74,39943,-71608
3,20.4,45,73,39924,-71608
3,20.4,45,75,39930,-71608
3,20.4,45,74,39974,-71608
3,20.4,45,74,39946,-71608
3,20.4,45,74,39915,-71608
3,20.4,45,74,39919,-71608
3,20.4,45,76,39950,-71608
3,20.4,45,75,39949,-71608
3,20.4,45,75,39943,-71608
3,20.4,45,74,39940,-71608
3,20.4,45,73,39964,-71608
3,20.4,45,72,39935,-71608
3,20.4,45,72,39931,-71608
3,20.4,45,75,39941,-71608
3,20.4,45,75,39950,-71608
3,20.4,45,75,39962,-71608
3,20.4,45,75,39980,-71608
3,20.4,45,74,39950,-71608
3,20.4,45,74,39916,-71608
3,20.4,45,74,39926,-71608
3,20.4,45,73,39915,-71608
4,20.4,50,102,37178,-72119
4,20.4,50,101,47365,-72119
4,20.4,50,102,49132,-72119
4,20.4,50,101,49292,-72119
4,20.4,50,99,49357,-72119
4,20.4,50,99,49397,-72119
4,20.4,50,98,49384,-72119
4,20.4,50,98,49373,-72119
4,20.4,50,97,49401,-72119
4,20.4,50,100,49436,-72119
4,20.4,50,100,49448,-72119
4,20.4,50,100,49400,-72119
4,20.4,50,98,49446,-72119
4,20.4,50,98,49478,-72119
4,20.4,50,95,49426,-72119
4,20.4,50,95,49390,-72119
4,20.4,50,97,49435,-72119
4,20.4,50,98,49447,-72119
4,20.4,50,96,49439,-72119
4,20.4,50,96,49417,-72119
4,20.4,50,98,49449,-72119
4,20.4,50,98,49474,-72119
4,20.4,50,99,49475,-72119
4,20.4,50,99,49448,-72119
4,20.4,50,98,49414,-72119
4,20.4,50,99,49432,-72119
4,20.4,50,98,49365,-72119
4,20.4,50,99,49348,-72119
4,20.4,50,98,49394,-72119
4,20.4,50,97,49438,-72119
4,20.4,50,99,49453,-72119
4,20.4,50,99,49436,-72119
4,20.4,50,97,49431,-72119
4,20.4,50,97,49413,-72119
4,20.4,50,98,49392,-72119
4,20.4,50,97,49408,-72119
4,20.4,50,96,49411,-72119
4,20.4,50,99,49409,-72119
4,20.4,50,93,49414,-72119
4,20.4,50,99,49391,-72119
4,20.4,50,98,49426,-72119
4,20.4,50,96,49424,-72119
4,20.4,50,99,49407,-72119
4,20.4,50,100,49421,-72119
4,20.4,50,98,49422,-72119
4,20.4,50,97,49386,-72119
4,20.4,50,96,49423,-72119
4,20.4,50,97,49451,-72119
4,20.4,50,95,49476,-72119
4,20.4,50,98,49441,-72119
4,20.4,50,96,49405,-72119
4,20.4,50,98,49439,-72119
4,20.4,50,100,49454,-72119
4,20.4,50,98,49442,-72119
4,20.4,50,97,49421,-72119
4,20.4,50,98,49407,-72119
4,20.4,50,98,49437,-72119
4,20.4,50,96,49462,-72119
5,20.4,55,139,47647,-72657
5,20.4,55,138,58346,-72657
5,20.4,55,139,60251,-72657
5,20.4,55,139,60422,-72657
5,20.4,55,136,60456,-72657
5,20.4,55,138,60486,-72657
5,20.4,55,138,60543,-72657
5,20.4,55,136,60538,-72657
5,20.4,55,136,60521,-72657
5,20.4,55,136,60571,-72657
5,20.4,55,138,60584,-72657
5,20.4,55,138,60577,-72657
5,20.4,55,137,60539,-72657
5,20.4,55,135,60547,-72657
5,20.4,55,138,60557,-72657
5,20.4,55,138,60566,-72657
5,20.4,55,137,60534,-72657
5,20.4,55,138,60527,-72657
5,20.4,55,139,60540,-72657
5,20.4,55,137,60552,-72657
5,20.4,55,138,60577,-72657
5,20.4,55,140,60598,-72657
5,20.4,55,137,60542,-72657
5,20.4,55,137,60518,-72657
5,20.4,55,140,60564,-72657
5,20.4,55,137,60567,-72657
5,20.4,55,138,60610,-72657
5,20.4,55,136,60608,-72657
5,20.4,55,138,60591,-72657
5,20.4,55,136,60592,-72657
5,20.4,55,136,60590,-72657
5,20.4,55,138,60582,-72657
5,20.4,55,137,60594,-72657
5,20.4,55,136,60587,-72657
5,20.4,55,136,60608,-72657
5,20.4,55,137,60593,-72657
5,20.4,55,138,60551,-72657
5,20.4,55,137,60578,-72657
5,20.4,55,140,60584,-72657
5,20.4,55,137,60577,-72657
5,20.4,55,135,60554,-72657
5,20.4,55,137,60570,-72657
5,20.4,55,135,60571,-72657
5,20.4,55,136,60549,-72657
5,20.4,55,137,60543,-72657
5,20.4,55,138,60535,-72657
5,20.4,55,136,60561,-72657
5,20.4,55,136,60597,-72657
5,20.4,55,135,60573,-72657
5,20.4,55,136,60617,-72657
5,20.4,55,138,60569,-72657
5,20.4,55,137,60552,-72657
5,20.4,55,137,60532,-72657
5,20.4,55,136,60530,-72657
5,20.4,55,138,60584,-72657
5,20.4,55,136,60591,-72657
5,20.4,55,136,60610,-72657
5,20.4,55,136,60596,-72657
6,20.4,60,169,57070,-73081
6,20.4,60,170,67154,-73081
6,20.4,60,170,68845,-73081
6,20.4,60,168,69037,-73081
6,20.4,60,166,69138,-73081
6,20.4,60,168,69160,-73081
6,20.4,60,169,69171,-73081
6,20.4,60,169,69201,-73081
6,20.4,60,169,69237,-73081
6,20.4,60,169,69234,-73081
6,20.4,60,166,69261,-73081
6,20.4,60,166,69268,-73081
6,20.4,60,170,69300,-73081
6,20.4,60,167,69300,-73081
6,20.4,60,166,69308,-73081
6,20.4,60,169,69285,-73081
6,20.4,60,167,69255,-73081
6,20.4,60,168,69274,-73081
6,20.4,60,167,69275,-73081
6,20.4,60,168,69287,-73081
6,20.4,60,167,69280,-73081
6,20.4,60,170,69303,-73081
6,20.4,60,168,69332,-73081
6,20.4,60,168,69316,-73081
6,20.4,60,166,69336,-73081
6,20.4,60,167,69327,-73081
6,20.4,60,166,69313,-73081
6,20.4,60,164,69310,-73081
6,20.4,60,165,69303,-73081
6,20.4,60,167,69299,-73081
6,20.4,60,167,69274,-73081
6,20.4,60,168,69281,-73081
6,20.4,60,165,69311,-73081
6,20.4,60,165,69318,-73081
6,20.4,60,166,69305,-73081
6,20.4,60,166,69341,-73081
6,20.4,60,164,69330,-73081
6,20.4,60,164,69314,-73081
6,20.4,60,167,69322,-73081
6,20.4,60,167,69345,-73081
6,20.4,60,166,69345,-73081
6,20.4,60,166,69357,-73081
6,20.4,60,167,69344,-73081
6,20.4,60,168,69318,-73081
6,20.4,60,166,69326,-73081
6,20.4,60,167,69304,-73081
6,20.4,60,168,69301,-73081
6,20.4,60,168,69306,-73081
6,20.4,60,163,69336,-73081
6,20.4,60,166,69328,-73081
6,20.4,60,167,69315,-73081
6,20.4,60,169,69326,-73081
6,20.4,60,167,69366,-73081
6,20.4,60,167,69351,-73081
6,20.4,60,166,69346,-73081
6,20.4,60,166,69329,-73081
6,20.4,60,167,69321,-73081
6,20.4,60,164,69294,-73081
7,20.4,65,206,66922,-73607
