Trial,Jaw Distance (mm),PWM,Grasper Force Sensor (Counts),External Force Sensor (Counts),Encoder Value (Pulses)
0,17.7,30,25,14143,-51499
0,17.7,30,30,14192,-51499
0,17.7,30,27,14154,-51499
0,17.7,30,32,14130,-51499
0,17.7,30,30,14132,-51499
0,17.7,30,30,14142,-51499
0,17.7,30,34,14168,-51499
0,17.7,30,34,14146,-51499
0,17.7,30,33,14135,-51499
0,17.7,30,30,14187,-51499
0,17.7,30,29,14209,-51499
0,17.7,30,30,14196,-51499
0,17.7,30,31,14207,-51499
0,17.7,30,34,14177,-51499
0,17.7,30,33,14175,-51499
0,17.7,30,29,14181,-51499
0,17.7,30,31,14159,-51499
0,17.7,30,29,14155,-51499
0,17.7,30,36,14160,-51499
0,17.7,30,32,14204,-51499
0,17.7,30,37,14211,-51499
0,17.7,30,29,14228,-51499
0,17.7,30,31,14244,-51499
0,17.7,30,30,14233,-51499
0,17.7,30,31,14182,-51499
0,17.7,30,34,14187,-51499
0,17.7,30,27,14144,-51499
0,17.7,30,30,14177,-51499
0,17.7,30,35,14202,-51499
0,17.7,30,37,14234,-51499
0,17.7,30,31,14227,-51499
0,17.7,30,33,14228,-51499
0,17.7,30,34,14198,-51499
0,17.7,30,34,14186,-51499
0,17.7,30,29,14157,-51499
0,17.7,30,30,14159,-51499
0,17.7,30,33,14192,-51499
0,17.7,30,37,14187,-51499
0,17.7,30,31,14182,-51499
0,17.7,30,36,14221,-51499
0,17.7,30,37,14216,-51499
0,17.7,30,31,14245,-51499
0,17.7,30,28,14220,-51499
0,17.7,30,35,14186,-51499
0,17.7,30,32,14171,-51499
0,17.7,30,28,14203,-51499
0,17.7,30,32,14241,-51499
0,17.7,30,30,14230,-51499
0,17.7,30,29,14228,-51499
0,17.7,30,35,14237,-51499
0,17.7,30,31,14229,-51499
0,17.7,30,29,14219,-51499
0,17.7,30,35,14236,-51499
0,17.7,30,34,14213,-51499
0,17.7,30,30,14170,-51499
0,17.7,30,36,14177,-51499
0,17.7,30,30,14224,-51499
0,17.7,30,35,14231,-51499
1,17.7,35,50,13920,-52279
1,17.7,35,53,27605,-52279
1,17.7,35,53,32397,-52279
