Trial,Jaw Distance (mm),PWM,Grasper Force Sensor (Counts),External Force Sensor (Counts),Encoder Value (Pulses)
0,14.5,30,21,2218,-55650
0,14.5,30,22,2225,-55650
0,14.5,30,22,2254,-55650
0,14.5,30,25,2246,-55650
0,14.5,30,23,2274,-55650
0,14.5,30,22,2252,-55650
0,14.5,30,26,2251,-55650
0,14.5,30,27,2226,-55650
0,14.5,30,22,2247,-55650
0,14.5,30,21,2268,-55650
0,14.5,30,21,2295,-55650
0,14.5,30,21,2275,-55650
0,14.5,30,18,2208,-55650
0,14.5,30,22,2219,-55650
0,14.5,30,22,2239,-55650
0,14.5,30,24,2246,-55650
0,14.5,30,25,2269,-55650
0,14.5,30,23,2267,-55650
0,14.5,30,23,2288,-55650
0,14.5,30,21,2280,-55650
0,14.5,30,21,2254,-55650
0,14.5,30,20,2234,-55650
0,14.5,30,22,2258,-55650
0,14.5,30,22,2258,-55650
0,14.5,30,22,2273,-55650
0,14.5,30,21,2265,-55650
0,14.5,30,25,2282,-55650
0,14.5,30,18,2304,-55650
0,14.5,30,21,2302,-55650
0,14.5,30,22,2331,-55650
0,14.5,30,25,2331,-55650
0,14.5,30,24,2305,-55650
0,14.5,30,25,2308,-55650
0,14.5,30,20,2315,-55650
0,14.5,30,23,2309,-55650
0,14.5,30,22,2290,-55650
0,14.5,30,25,2261,-55650
0,14.5,30,26,2271,-55650
0,14.5,30,22,2253,-55650
0,14.5,30,19,2310,-55650
0,14.5,30,27,2329,-55650
0,14.5,30,23,2281,-55650
0,14.5,30,24,2265,-55650
0,14.5,30,20,2277,-55650
0,14.5,30,23,2276,-55650
0,14.5,30,23,2276,-55650
0,14.5,30,20,2285,-55650
0,14.5,30,21,2302,-55650
0,14.5,30,21,2324,-55650
0,14.5,30,24,2293,-55650
0,14.5,30,22,2250,-55650
0,14.5,30,19,2295,-55650
0,14.5,30,22,2337,-55650
0,14.5,30,26,2317,-55650
0,14.5,30,25,2283,-55650
0,14.5,30,20,2247,-55650
0,14.5,30,22,2297,-55650
0,14.5,30,24,2295,-55650
1,14.5,35,27,4692,-56196
1,14.5,35,26,6565,-56196
1,14.5,35,24,6608,-56196
1,14.5,35,32,6559,-56196
1,14.5,35,28,6579,-56196
1,14.5,35,25,6557,-56196
1,14.5,35,28,6529,-56196
1,14.5,35,24,6494,-56196
1,14.5,35,23,6447,-56196
1,14.5,35,24,6429,-56196
1,14.5,35,24,6462,-56196
1,14.5,35,26,6484,-56196
1,14.5,35,31,6471,-56196
1,14.5,35,26,6481,-56196
1,14.5,35,24,6447,-56196
