Trial,Jaw Distance (mm),PWM,Grasper Force Sensor (Counts),External Force Sensor (Counts),Encoder Value (Pulses)
0,11.8,30,27,8748,-56898
0,11.8,30,21,8743,-56898
0,11.8,30,21,8711,-56899
0,11.8,30,24,8696,-56899
0,11.8,30,31,8736,-56899
0,11.8,30,23,8721,-56899
0,11.8,30,22,8720,-56900
0,11.8,30,19,8726,-56901
0,11.8,30,26,8709,-56901
0,11.8,30,26,8700,-56902
0,11.8,30,18,8668,-56902
0,11.8,30,23,8719,-56902
0,11.8,30,23,8692,-56902
0,11.8,30,28,8716,-56902
0,11.8,30,22,8759,-56903
0,11.8,30,24,8785,-56903
0,11.8,30,28,8772,-56903
0,11.8,30,22,8781,-56903
0,11.8,30,25,8760,-56903
0,11.8,30,24,8725,-56903
0,11.8,30,24,8792,-56903
0,11.8,30,19,8784,-56903
0,11.8,30,27,8774,-56903
0,11.8,30,19,8788,-56903
0,11.8,30,27,8782,-56903
0,11.8,30,23,8784,-56903
0,11.8,30,27,8748,-56904
0,11.8,30,25,8725,-56905
0,11.8,30,27,8790,-56905
0,11.8,30,22,8776,-56905
0,11.8,30,24,8771,-56905
0,11.8,30,20,8814,-56905
0,11.8,30,29,8811,-56905
0,11.8,30,24,8802,-56905
0,11.8,30,27,8780,-56905
0,11.8,30,18,8736,-56905
0,11.8,30,26,8742,-56905
0,11.8,30,23,8763,-56905
0,11.8,30,26,8768,-56905
0,11.8,30,21,8779,-56905
0,11.8,30,25,8792,-56905
0,11.8,30,24,8795,-56905
0,11.8,30,27,8790,-56905
0,11.8,30,27,8810,-56905
0,11.8,30,24,8798,-56905
0,11.8,30,24,8803,-56905
0,11.8,30,22,8802,-56906
0,11.8,30,25,8768,-56906
0,11.8,30,22,8805,-56906
0,11.8,30,27,8808,-56906
0,11.8,30,23,8804,-56906
0,11.8,30,25,8760,-56906
0,11.8,30,24,8801,-56907
0,11.8,30,18,8803,-56907
0,11.8,30,26,8788,-56907
0,11.8,30,27,8802,-56907
0,11.8,30,26,8809,-56907
0,11.8,30,24,8806,-56907
1,11.8,35,25,9289,-57321
1,11.8,35,27,11778,-57321
1,11.8,35,31,11807,-57321
1,11.8,35,34,11779,-57321
1,11.8,35,23,11745,-57321
1,11.8,35,29,11727,-57321
1,11.8,35,30,11700,-57321
1,11.8,35,31,11695,-57321
1,11.8,35,24,11676,-57321
1,11.8,35,27,11671,-57321
1,11.8,35,32,11670,-57321
1,11.8,35,30,11681,-57321
1,11.8,35,26,11630,-57321
1,11.8,35,21,11599,-57321
1,11.8,35,26,11611,-57321
1,11.8,35,29,11634,-57321
1,11.8,35,26,11632,-57321
1,11.8,35,29,11622,-57321
1,11.8,35,29,11622,-57321
1,11.8,35,28,11624,-57321
1,11.8,35,29,11610,-57321
1,11.8,35,28,11577,-57321
1,11.8,35,32,11601,-57321
1,11.8,35,27,11614,-57321
1,11.8,35,26,11614,-57321
1,11.8,35,28,11618,-57321
1,11.8,35,28,11630,-57321
1,11.8,35,27,11601,-57321
1,11.8,35,20,11567,-57321
1,11.8,35,26,11601,-57321
1,11.8,35,24,11567,-57321
1,11.8,35,28,11566,-57321
1,11.8,35,30,11594,-57321
1,11.8,35,31,11610,-57321
1,11.8,35,24,11605,-57321
1,11.8,35,28,11599,-57321
1,11.8,35,31,11588,-57321
1,11.8,35,30,11584,-57321
1,11.8,35,22,11598,-57321
1,11.8,35,24,11590,-57321
1,11.8,35,31,11568,-57321
1,11.8,35,28,11577,-57321
1,11.8,35,26,11644,-57321
1,11.8,35,26,11587,-57321
1,11.8,35,25,11602,-57321
1,11.8,35,27,11590,-57321
1,11.8,35,27,11568,-57321
1,11.8,35,31,11550,-57321
1,11.8,35,32,11548,-57321
1,11.8,35,29,11562,-57321
1,11.8,35,23,11599,-57321
1,11.8,35,22,11560,-57321
1,11.8,35,22,11571,-57321
1,11.8,35,25,11554,-57321
1,11.8,35,25,11532,-57321
1,11.8,35,27,11583,-57321
1,11.8,35,20,11524,-57321
1,11.8,35,24,11561,-57321
2,11.8,40,48,11788,-59064
2,11.8,40,46,13561,-59178
2,11.8,40,21,14079,-59178
2,11.8,40,20,14752,-59178
2,11.8,40,24,14976,-59178
2,11.8,40,23,15015,-59178
2,11.8,40,21,14999,-59178
2,11.8,40,23,14924,-59178
2,11.8,40,20,14929,-59178
2,11.8,40,22,14937,-59178
2,11.8,40,20,14889,-59178
2,11.8,40,21,14882,-59178
2,11.8,40,21,14922,-59178
2,11.8,40,19,14887,-59178
2,11.8,40,21,14861,-59178
2,11.8,40,20,14878,-59178
2,11.8,40,19,14930,-59178
2,11.8,40,20,14887,-59178
2,11.8,40,21,14858,-59178
2,11.8,40,24,14863,-59178
2,11.8,40,20,14877,-59178
2,11.8,40,23,14812,-59178
2,11.8,40,18,14809,-59178
2,11.8,40,20,14880,-59178
2,11.8,40,19,14856,-59179
2,11.8,40,18,14852,-59179
2,11.8,40,20,14832,-59179
2,11.8,40,18,14818,-59179
2,11.8,40,21,14833,-59179
2,11.8,40,18,14820,-59179
2,11.8,40,19,14830,-59179
2,11.8,40,20,14834,-59179
2,11.8,40,18,14860,-59179
2,11.8,40,18,14839,-59179
2,11.8,40,16,14814,-59179
2,11.8,40,20,14842,-59179
2,11.8,40,20,14864,-59179
2,11.8,40,22,14808,-59179
2,11.8,40,20,14773,-59179
2,11.8,40,19,14735,-59179
2,11.8,40,20,14681,-59179
2,11.8,40,17,14709,-59179
2,11.8,40,18,14792,-59179
2,11.8,40,22,14947,-59179
2,11.8,40,21,15023,-59179
2,11.8,40,17,15015,-59179
2,11.8,40,20,15023,-59179
2,11.8,40,20,15030,-59179
2,11.8,40,16,15043,-59179
2,11.8,40,17,15045,-59179
2,11.8,40,19,15018,-59179
2,11.8,40,18,15028,-59179
2,11.8,40,18,15043,-59179
2,11.8,40,19,15051,-59179
2,11.8,40,17,15077,-59179
2,11.8,40,20,15087,-59179
2,11.8,40,20,15098,-59179
2,11.8,40,18,15075,-59179
3,11.8,45,53,17312,-60178
3,11.8,45,54,26023,-60178
3,11.8,45,56,29981,-60178
3,11.8,45,55,30125,-60178
3,11.8,45,54,29972,-60178
3,11.8,45,54,29870,-60178
3,11.8,45,56,29749,-60178
3,11.8,45,56,29698,-60178
3,11.8,45,52,29674,-60178
3,11.8,45,51,29569,-60178
3,11.8,45,53,29515,-60178
3,11.8,45,52,29514,-60178
3,11.8,45,51,29512,-60178
3,11.8,45,54,29522,-60178
3,11.8,45,52,29495,-60178
3,11.8,45,52,29460,-60178
3,11.8,45,49,29442,-60178
3,11.8,45,49,29454,-60178
3,11.8,45,50,29443,-60178
3,11.8,45,50,29428,-60178
3,11.8,45,51,29415,-60178
3,11.8,45,50,29375,-60178
3,11.8,45,49,29379,-60178
3,11.8,45,50,29373,-60178
3,11.8,45,49,29372,-60178
3,11.8,45,48,29355,-60178
3,11.8,45,55,29363,-60178
3,11.8,45,53,29355,-60178
3,11.8,45,53,29352,-60178
3,11.8,45,54,29368,-60178
3,11.8,45,55,29335,-60178
3,11.8,45,55,29354,-60178
3,11.8,45,55,29356,-60178
3,11.8,45,51,29361,-60178
3,11.8,45,54,29378,-60178
3,11.8,45,54,29383,-60178
3,11.8,45,54,29320,-60178
3,11.8,45,55,29290,-60178
3,11.8,45,55,29286,-60178
3,11.8,45,54,29300,-60178
3,11.8,45,55,29282,-60178
3,11.8,45,54,29311,-60178
3,11.8,45,53,29294,-60178
3,11.8,45,51,29276,-60178
3,11.8,45,54,29294,-60178
3,11.8,45,54,29281,-60178
3,11.8,45,54,29333,-60178
3,11.8,45,54,29360,-60178
3,11.8,45,54,29301,-60178
3,11.8,45,53,29248,-60178
3,11.8,45,53,29262,-60178
3,11.8,45,54,29318,-60178
3,11.8,45,54,29300,-60178
3,11.8,45,54,29301,-60178
3,11.8,45,53,29242,-60178
3,11.8,45,53,29235,-60178
3,11.8,45,51,29246,-60178
3,11.8,45,54,29267,-60178
4,11.8,50,71,28698,-60683
4,11.8,50,73,36210,-60683
4,11.8,50,71,37187,-60683
4,11.8,50,72,37112,-60683
4,11.8,50,73,37077,-60683
4,11.8,50,77,37050,-60683
4,11.8,50,75,37030,-60683
4,11.8,50,76,37022,-60683
4,11.8,50,72,37032,-60683
4,11.8,50,78,36984,-60683
4,11.8,50,78,36962,-60683
4,11.8,50,76,36981,-60683
4,11.8,50,75,36964,-60683
4,11.8,50,75,36959,-60683
4,11.8,50,75,36949,-60683
4,11.8,50,74,36934,-60683
4,11.8,50,74,36918,-60683
4,11.8,50,74,36911,-60683
4,11.8,50,76,36899,-60683
4,11.8,50,73,36885,-60683
4,11.8,50,74,36866,-60683
4,11.8,50,75,36855,-60683
4,11.8,50,74,36872,-60683
4,11.8,50,74,36892,-60683
4,11.8,50,73,36844,-60683
4,11.8,50,72,36858,-60683
4,11.8,50,74,36904,-60683
4,11.8,50,75,36863,-60683
4,11.8,50,75,36825,-60683
4,11.8,50,76,36852,-60683
4,11.8,50,76,36863,-60683
4,11.8,50,76,36805,-60683
4,11.8,50,74,36835,-60683
4,11.8,50,74,36838,-60683
4,11.8,50,73,36807,-60683
4,11.8,50,74,36801,-60683
4,11.8,50,72,36815,-60683
4,11.8,50,74,36839,-60683
4,11.8,50,77,36799,-60683
4,11.8,50,74,36754,-60683
4,11.8,50,73,36778,-60683
4,11.8,50,74,36748,-60683
4,11.8,50,73,36761,-60683
4,11.8,50,74,36766,-60683
4,11.8,50,73,36768,-60683
4,11.8,50,74,36772,-60683
4,11.8,50,74,36752,-60683
4,11.8,50,72,36730,-60683
4,11.8,50,72,36764,-60683
4,11.8,50,72,36773,-60683
4,11.8,50,72,36711,-60683
4,11.8,50,74,36705,-60683
4,11.8,50,72,36689,-60683
4,11.8,50,73,36714,-60683
4,11.8,50,73,36711,-60683
4,11.8,50,71,36722,-60683
4,11.8,50,71,36740,-60683
4,11.8,50,73,36759,-60683
5,11.8,55,105,36644,-61251
5,11.8,55,107,45127,-61251
5,11.8,55,109,46621,-61251
5,11.8,55,109,46620,-61251
5,11.8,55,103,46554,-61251
5,11.8,55,106,46552,-61251
5,11.8,55,105,46566,-61251
5,11.8,55,104,46543,-61251
