Trial,Jaw Distance (mm),PWM,Grasper Force Sensor (Counts),External Force Sensor (Counts),Encoder Value (Pulses)
0,12.8,30,23,7274,-34592
0,12.8,30,22,7241,-34592
0,12.8,30,26,7241,-34592
0,12.8,30,26,7301,-34592
0,12.8,30,22,7336,-34592
0,12.8,30,27,7304,-34593
0,12.8,30,27,7251,-34593
0,12.8,30,24,7291,-34593
0,12.8,30,18,7315,-34594
0,12.8,30,26,7294,-34594
0,12.8,30,24,7264,-34595
0,12.8,30,22,7286,-34595
0,12.8,30,28,7331,-34595
0,12.8,30,22,7324,-34595
0,12.8,30,24,7300,-34595
0,12.8,30,28,7315,-34595
0,12.8,30,22,7311,-34595
0,12.8,30,19,7309,-34596
0,12.8,30,25,7317,-34597
0,12.8,30,22,7301,-34598
0,12.8,30,16,7282,-34599
0,12.8,30,23,7277,-34600
0,12.8,30,24,7290,-34601
0,12.8,30,25,7323,-34602
0,12.8,30,24,7321,-34604
0,12.8,30,22,7298,-34604
0,12.8,30,31,7293,-34604
0,12.8,30,27,7307,-34604
0,12.8,30,20,7273,-34605
0,12.8,30,28,7278,-34605
0,12.8,30,20,7268,-34606
0,12.8,30,23,7279,-34606
0,12.8,30,28,7339,-34607
0,12.8,30,21,7359,-34607
0,12.8,30,29,7361,-34608
0,12.8,30,18,7312,-34609
0,12.8,30,20,7292,-34609
0,12.8,30,22,7317,-34610
0,12.8,30,25,7328,-34611
0,12.8,30,23,7316,-34611
0,12.8,30,22,7334,-34612
0,12.8,30,28,7341,-34612
0,12.8,30,20,7310,-34612
0,12.8,30,25,7310,-34612
0,12.8,30,21,7349,-34612
0,12.8,30,22,7326,-34613
0,12.8,30,21,7299,-34613
0,12.8,30,26,7363,-34613
0,12.8,30,21,7369,-34613
0,12.8,30,22,7350,-34613
0,12.8,30,19,7330,-34613
0,12.8,30,25,7330,-34613
0,12.8,30,19,7369,-34613
0,12.8,30,19,7376,-34614
0,12.8,30,20,7308,-34614
0,12.8,30,25,7301,-34614
0,12.8,30,22,7303,-34614
0,12.8,30,27,7328,-34614
1,12.8,35,30,6637,-35198
1,12.8,35,26,10427,-35198
1,12.8,35,28,10744,-35198
1,12.8,35,30,10655,-35198
1,12.8,35,26,10615,-35198
1,12.8,35,27,10600,-35198
1,12.8,35,30,10542,-35198
1,12.8,35,26,10530,-35198
1,12.8,35,29,10494,-35198
1,12.8,35,24,10468,-35198
1,12.8,35,26,10470,-35198
1,12.8,35,27,10440,-35198
1,12.8,35,29,10447,-35198
1,12.8,35,30,10463,-35198
1,12.8,35,27,10434,-35198
1,12.8,35,27,10460,-35198
1,12.8,35,31,10449,-35198
1,12.8,35,18,10428,-35198
1,12.8,35,27,10434,-35198
1,12.8,35,25,10434,-35198
1,12.8,35,21,10434,-35198
1,12.8,35,26,10427,-35198
1,12.8,35,27,10412,-35198
1,12.8,35,26,10464,-35198
1,12.8,35,21,10415,-35198
1,12.8,35,23,10356,-35198
1,12.8,35,26,10381,-35198
1,12.8,35,27,10384,-35198
1,12.8,35,21,10369,-35198
1,12.8,35,28,10369,-35198
1,12.8,35,27,10372,-35198
1,12.8,35,27,10395,-35198
1,12.8,35,24,10412,-35198
1,12.8,35,27,10386,-35198
1,12.8,35,30,10382,-35198
1,12.8,35,26,10380,-35198
1,12.8,35,22,10380,-35198
1,12.8,35,24,10382,-35198
1,12.8,35,22,10398,-35198
1,12.8,35,24,10365,-35198
1,12.8,35,27,10341,-35198
1,12.8,35,27,10344,-35198
1,12.8,35,20,10349,-35198
1,12.8,35,27,10380,-35198
1,12.8,35,28,10373,-35198
1,12.8,35,25,10388,-35198
1,12.8,35,23,10358,-35198
1,12.8,35,26,10360,-35198
1,12.8,35,22,10380,-35198
1,12.8,35,22,10365,-35198
1,12.8,35,30,10358,-35198
1,12.8,35,29,10347,-35198
1,12.8,35,26,10357,-35198
1,12.8,35,24,10338,-35198
1,12.8,35,28,10310,-35198
1,12.8,35,25,10319,-35198
1,12.8,35,18,10379,-35198
1,12.8,35,23,10364,-35198
2,12.8,40,36,12660,-36324
2,12.8,40,39,21276,-36324
2,12.8,40,39,24641,-36324
2,12.8,40,37,24600,-36324
2,12.8,40,38,24399,-36324
2,12.8,40,38,24321,-36324
2,12.8,40,37,24283,-36324
2,12.8,40,36,24205,-36324
2,12.8,40,36,24151,-36324
2,12.8,40,34,24079,-36324
2,12.8,40,36,24030,-36324
2,12.8,40,37,24007,-36324
2,12.8,40,39,23989,-36324
2,12.8,40,36,23977,-36324
2,12.8,40,36,23991,-36324
2,12.8,40,37,23950,-36324
2,12.8,40,37,23906,-36324
2,12.8,40,37,23919,-36324
2,12.8,40,38,23876,-36324
2,12.8,40,36,23843,-36324
2,12.8,40,36,23863,-36324
2,12.8,40,35,23856,-36324
2,12.8,40,34,23867,-36324
2,12.8,40,36,23827,-36324
2,12.8,40,35,23834,-36324
2,12.8,40,37,23809,-36324
2,12.8,40,40,23825,-36324
2,12.8,40,36,23790,-36324
2,12.8,40,38,23761,-36324
2,12.8,40,35,23770,-36324
2,12.8,40,36,23787,-36324
2,12.8,40,37,23777,-36324
2,12.8,40,38,23770,-36324
2,12.8,40,39,23782,-36324
2,12.8,40,37,23792,-36324
2,12.8,40,37,23727,-36324
2,12.8,40,36,23702,-36324
2,12.8,40,36,23692,-36324
2,12.8,40,38,23744,-36324
2,12.8,40,40,23735,-36324
2,12.8,40,37,23733,-36324
2,12.8,40,35,23756,-36324
2,12.8,40,37,23775,-36324
2,12.8,40,36,23725,-36324
2,12.8,40,35,23685,-36324
2,12.8,40,38,23716,-36324
2,12.8,40,36,23761,-36324
2,12.8,40,39,23716,-36324
2,12.8,40,38,23680,-36324
2,12.8,40,37,23705,-36324
2,12.8,40,34,23715,-36324
2,12.8,40,37,23690,-36324
2,12.8,40,39,23698,-36324
2,12.8,40,39,23686,-36324
2,12.8,40,35,23725,-36324
2,12.8,40,37,23759,-36324
2,12.8,40,37,23716,-36324
2,12.8,40,39,23699,-36324
3,12.8,45,51,24674,-36804
3,12.8,45,52,31377,-36804
3,12.8,45,52,31902,-36804
3,12.8,45,50,31710,-36804
3,12.8,45,50,31571,-36804
3,12.8,45,51,31522,-36804
3,12.8,45,51,31468,-36804
3,12.8,45,49,31442,-36804
3,12.8,45,49,31367,-36804
3,12.8,45,51,31346,-36804
3,12.8,45,51,31315,-36804
3,12.8,45,51,31253,-36804
3,12.8,45,52,31200,-36804
3,12.8,45,54,31258,-36804
3,12.8,45,54,31263,-36804
