Trial,Jaw Distance (mm),PWM,Grasper Force Sensor (Counts),External Force Sensor (Counts),Encoder Value (Pulses)
0,10.2,30,19,2329,-58054
0,10.2,30,20,2246,-58054
0,10.2,30,24,2275,-58054
0,10.2,30,25,2307,-58054
0,10.2,30,22,2293,-58054
0,10.2,30,20,2321,-58054
0,10.2,30,25,2306,-58054
0,10.2,30,26,2254,-58054
0,10.2,30,24,2300,-58054
0,10.2,30,27,2365,-58054
0,10.2,30,17,2329,-58054
0,10.2,30,17,2292,-58054
0,10.2,30,20,2339,-58054
0,10.2,30,21,2370,-58054
0,10.2,30,21,2293,-58054
0,10.2,30,20,2307,-58054
0,10.2,30,24,2325,-58054
0,10.2,30,24,2336,-58054
0,10.2,30,19,2316,-58054
0,10.2,30,25,2327,-58054
0,10.2,30,23,2414,-58054
0,10.2,30,25,2407,-58054
0,10.2,30,26,2379,-58054
0,10.2,30,24,2350,-58054
0,10.2,30,18,2367,-58054
0,10.2,30,26,2428,-58054
0,10.2,30,22,2392,-58054
0,10.2,30,16,2390,-58054
0,10.2,30,24,2375,-58054
0,10.2,30,24,2342,-58054
0,10.2,30,16,2373,-58054
0,10.2,30,22,2395,-58054
0,10.2,30,29,2373,-58054
0,10.2,30,22,2376,-58054
0,10.2,30,25,2381,-58054
0,10.2,30,24,2384,-58054
0,10.2,30,19,2371,-58054
0,10.2,30,23,2328,-58054
0,10.2,30,20,2371,-58054
0,10.2,30,21,2397,-58054
0,10.2,30,19,2457,-58054
0,10.2,30,25,2449,-58054
0,10.2,30,25,2383,-58054
0,10.2,30,28,2354,-58054
0,10.2,30,22,2379,-58054
0,10.2,30,25,2398,-58054
0,10.2,30,26,2416,-58054
0,10.2,30,21,2425,-58054
0,10.2,30,17,2445,-58054
0,10.2,30,17,2427,-58054
0,10.2,30,25,2370,-58054
0,10.2,30,22,2378,-58054
0,10.2,30,24,2441,-58054
0,10.2,30,22,2475,-58054
0,10.2,30,27,2483,-58054
0,10.2,30,28,2461,-58054
0,10.2,30,26,2426,-58054
0,10.2,30,27,2410,-58054
1,10.2,35,12,628,-58176
1,10.2,35,9,785,-58176
1,10.2,35,9,750,-58176
1,10.2,35,7,754,-58176
1,10.2,35,8,750,-58177
1,10.2,35,2,733,-58177
1,10.2,35,5,747,-58177
1,10.2,35,7,726,-58177
1,10.2,35,1,718,-58177
1,10.2,35,7,698,-58177
1,10.2,35,10,694,-58177
1,10.2,35,10,725,-58177
1,10.2,35,8,773,-58177
1,10.2,35,6,715,-58177
1,10.2,35,6,700,-58177
1,10.2,35,10,722,-58177
1,10.2,35,13,679,-58177
1,10.2,35,13,701,-58178
1,10.2,35,12,729,-58178
1,10.2,35,12,747,-58178
1,10.2,35,7,712,-58178
1,10.2,35,4,672,-58178
1,10.2,35,7,694,-58178
1,10.2,35,10,700,-58178
1,10.2,35,11,702,-58178
1,10.2,35,12,698,-58178
1,10.2,35,6,700,-58178
1,10.2,35,8,710,-58178
1,10.2,35,7,703,-58178
1,10.2,35,3,678,-58178
1,10.2,35,8,702,-58178
1,10.2,35,7,718,-58178
1,10.2,35,5,706,-58178
1,10.2,35,11,756,-58178
1,10.2,35,12,788,-58178
1,10.2,35,12,779,-58178
1,10.2,35,13,733,-58178
1,10.2,35,8,754,-58178
1,10.2,35,11,775,-58178
1,10.2,35,12,769,-58178
1,10.2,35,12,763,-58178
1,10.2,35,14,701,-58178
1,10.2,35,10,703,-58178
1,10.2,35,8,730,-58178
1,10.2,35,8,711,-58178
1,10.2,35,6,743,-58178
1,10.2,35,11,745,-58178
1,10.2,35,7,699,-58178
1,10.2,35,9,727,-58178
1,10.2,35,10,725,-58178
1,10.2,35,5,719,-58178
1,10.2,35,4,746,-58178
1,10.2,35,12,703,-58178
1,10.2,35,15,706,-58178
1,10.2,35,9,724,-58178
1,10.2,35,7,721,-58178
1,10.2,35,9,748,-58178
2,10.2,40,45,1790,-60436
2,10.2,40,48,6382,-60685
2,10.2,40,21,12820,-60685
2,10.2,40,18,15892,-60685
2,10.2,40,19,16119,-60685
2,10.2,40,21,16046,-60685
2,10.2,40,21,15973,-60685
2,10.2,40,21,15933,-60685
2,10.2,40,19,15900,-60685
2,10.2,40,21,15835,-60685
2,10.2,40,20,15776,-60685
2,10.2,40,19,15754,-60685
2,10.2,40,17,15785,-60685
2,10.2,40,19,15751,-60685
2,10.2,40,17,15700,-60685
2,10.2,40,17,15670,-60685
2,10.2,40,17,15713,-60685
2,10.2,40,18,15657,-60685
2,10.2,40,22,15614,-60685
2,10.2,40,17,15658,-60685
2,10.2,40,17,15648,-60685
2,10.2,40,13,15613,-60685
2,10.2,40,19,15629,-60685
2,10.2,40,18,15621,-60685
2,10.2,40,18,15567,-60685
