Measured Distance (mm),Nominal Distance (mm),PWM Value,Force Reading (Counts),Encoder Value (Pulses)
11,11,60,133,-69083
11,11,60,137,-69083
11,11,60,140,-69083
11,11,60,136,-69083
11,11,60,139,-69083
11,11,60,140,-69083
11,11,60,140,-69083
11,11,60,139,-69083
11,11,60,137,-69083
11,11,60,137,-69083
11,11,60,137,-69083
11,11,60,134,-69083
11,11,60,138,-69083
11,11,60,140,-69083
11,11,60,135,-69083
11,11,60,138,-69083
11,11,60,141,-69083
11,11,60,129,-69083
11,11,60,138,-69083
11,11,60,137,-69083
11,11,60,144,-69083
11,11,60,139,-69083
11,11,60,133,-69083
11,11,60,140,-69083
11,11,60,141,-69083
11,11,60,135,-69083
11,11,60,136,-69083
11,11,60,139,-69083
11,11,60,137,-69083
11,11,60,140,-69083
11,11,60,133,-69083
11,11,60,139,-69083
11,11,60,138,-69083
11,11,60,134,-69083
11,11,60,138,-69083
11,11,60,140,-69083
11,11,60,138,-69083
11,11,60,140,-69083
11,11,60,141,-69083
11,11,60,139,-69083
11,11,60,139,-69083
11,11,60,135,-69083
11,11,60,138,-69083
11,11,60,139,-69083
11,11,60,135,-69083
11,11,60,138,-69083
11,11,60,137,-69083
11,11,60,137,-69083
11,11,60,139,-69083
11,11,60,140,-69083
11,11,90,187,-67973
11,11,90,188,-67973
11,11,90,188,-67973
11,11,90,187,-67973
11,11,90,186,-67973
11,11,90,186,-67973
11,11,90,188,-67973
11,11,90,187,-67973
11,11,90,189,-67973
11,11,90,188,-67973
11,11,90,187,-67973
11,11,90,188,-67973
11,11,90,189,-67973
11,11,90,187,-67973
11,11,90,186,-67973
11,11,90,188,-67973
11,11,90,186,-67973
11,11,90,188,-67973
11,11,90,186,-67973
11,11,90,188,-67973
11,11,90,188,-67973
11,11,90,187,-67973
11,11,90,189,-67973
11,11,90,185,-67973
11,11,90,185,-67973
11,11,90,187,-67973
11,11,90,188,-67973
11,11,90,188,-67973
11,11,90,188,-67973
11,11,90,187,-67973
11,11,90,188,-67973
11,11,90,188,-67973
11,11,90,188,-67973
11,11,90,189,-67973
11,11,90,187,-67973
11,11,90,189,-67973
11,11,90,188,-67973
11,11,90,189,-67973
11,11,90,187,-67973
11,11,90,188,-67973
11,11,90,187,-67973
11,11,90,189,-67973
11,11,90,189,-67973
11,11,90,187,-67973
11,11,90,187,-67973
11,11,90,187,-67973
11,11,90,188,-67973
11,11,90,187,-67973
11,11,90,188,-67973
11,11,90,187,-67973
11,11,120,272,-69469
11,11,120,273,-69469
11,11,120,274,-69469
11,11,120,270,-69469
11,11,120,272,-69469
11,11,120,271,-69469
11,11,120,273,-69469
11,11,120,272,-69469
11,11,120,274,-69469
11,11,120,272,-69469
11,11,120,272,-69469
11,11,120,273,-69469
11,11,120,272,-69469
11,11,120,273,-69469
11,11,120,271,-69469
11,11,120,273,-69469
11,11,120,272,-69469
11,11,120,273,-69469
11,11,120,272,-69469
11,11,120,273,-69469
11,11,120,273,-69469
11,11,120,273,-69469
11,11,120,272,-69469
11,11,120,272,-69469
11,11,120,274,-69469
11,11,120,273,-69469
11,11,120,273,-69469
11,11,120,272,-69469
11,11,120,273,-69469
11,11,120,272,-69469
11,11,120,273,-69469
11,11,120,272,-69469
11,11,120,272,-69469
11,11,120,273,-69469
11,11,120,271,-69469
11,11,120,273,-69469
11,11,120,271,-69469
11,11,120,273,-69469
11,11,120,272,-69469
11,11,120,273,-69469
11,11,120,273,-69469
11,11,120,272,-69469
11,11,120,273,-69469
11,11,120,272,-69469
11,11,120,273,-69469
11,11,120,271,-69469
11,11,120,272,-69469
11,11,120,272,-69469
11,11,120,273,-69469
11,11,120,271,-69469
11,11,150,348,-71070
11,11,150,349,-71070
11,11,150,350,-71070
11,11,150,349,-71070
11,11,150,347,-71070
11,11,150,348,-71070
11,11,150,349,-71070
11,11,150,349,-71070
11,11,150,349,-71070
11,11,150,349,-71070
11,11,150,351,-71070
11,11,150,350,-71070
11,11,150,348,-71070
11,11,150,349,-71070
11,11,150,347,-71070
11,11,150,350,-71070
11,11,150,349,-71070
11,11,150,349,-71070
11,11,150,349,-71070
11,11,150,349,-71070
11,11,150,349,-71070
11,11,150,348,-71070
11,11,150,349,-71070
11,11,150,349,-71070
11,11,150,350,-71070
11,11,150,348,-71070
11,11,150,349,-71070
11,11,150,349,-71070
11,11,150,349,-71070
11,11,150,349,-71070
11,11,150,348,-71070
11,11,150,349,-71070
11,11,150,348,-71070
11,11,150,349,-71070
11,11,150,348,-71070
11,11,150,349,-71070
11,11,150,348,-71070
11,11,150,349,-71070
11,11,150,349,-71070
11,11,150,349,-71070
